Start Time (UTC) = 1729570486.078829
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.031200	1559.5985	1554.2080	1549.1868	1545.0824	1542.3127	1559.5843	1553.7282	1549.1274	1546.4912	1542.6468
0.032000	1559.5977	1554.2088	1549.1860	1545.0832	1542.3119	1559.5843	1553.7290	1549.1282	1546.4920	1542.6468
0.032800	1559.5977	1554.2080	1549.1860	1545.0824	1542.3135	1559.5843	1553.7274	1549.1274	1546.4928	1542.6468
0.033600	1559.5977	1554.2072	1549.1868	1545.0824	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.034400	1559.5985	1554.2072	1549.1860	1545.0832	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6475
0.035200	1559.5977	1554.2080	1549.1868	1545.0824	1542.3135	1559.5843	1553.7274	1549.1290	1546.4920	1542.6475
0.036000	1559.5977	1554.2080	1549.1868	1545.0824	1542.3143	1559.5843	1553.7274	1549.1282	1546.4912	1542.6475
0.036800	1559.5977	1554.2080	1549.1868	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4912	1542.6468
0.037600	1559.5985	1554.2072	1549.1860	1545.0832	1542.3135	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.038400	1559.5977	1554.2072	1549.1868	1545.0816	1542.3135	1559.5835	1553.7274	1549.1290	1546.4920	1542.6468
0.039200	1559.5977	1554.2080	1549.1868	1545.0824	1542.3135	1559.5835	1553.7274	1549.1282	1546.4920	1542.6468
0.040000	1559.5977	1554.2080	1549.1868	1545.0824	1542.3127	1559.5843	1553.7274	1549.1282	1546.4920	1542.6468
0.040800	1559.5985	1554.2080	1549.1860	1545.0832	1542.3127	1559.5851	1553.7282	1549.1282	1546.4920	1542.6468
0.041600	1559.5977	1554.2080	1549.1868	1545.0824	1542.3135	1559.5851	1553.7282	1549.1282	1546.4920	1542.6468
0.042400	1559.5977	1554.2080	1549.1860	1545.0824	1542.3135	1559.5843	1553.7266	1549.1290	1546.4920	1542.6468
0.043200	1559.5977	1554.2088	1549.1868	1545.0832	1542.3127	1559.5851	1553.7282	1549.1282	1546.4912	1542.6468
0.044000	1559.5977	1554.2096	1549.1868	1545.0832	1542.3127	1559.5851	1553.7282	1549.1290	1546.4920	1542.6475
