Start Time (UTC) = 1729570316.303427
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.000000	1559.3656	1554.1828	1549.1993	1545.1151	1542.3608	1559.5771	1553.7754	1549.1657	1546.5013	1542.6902
0.000800	1559.3656	1554.1836	1549.1993	1545.1151	1542.3608	1559.5771	1553.7754	1549.1657	1546.5013	1542.6902
0.001600	1559.3648	1554.1828	1549.1993	1545.1151	1542.3608	1559.5771	1553.7738	1549.1649	1546.5006	1542.6894
0.002400	1559.3648	1554.1828	1549.1993	1545.1166	1542.3615	1559.5771	1553.7746	1549.1649	1546.5006	1542.6909
0.003200	1559.3648	1554.1820	1549.2001	1545.1158	1542.3600	1559.5779	1553.7746	1549.1665	1546.5013	1542.6902
0.004000	1559.3648	1554.1813	1549.2001	1545.1166	1542.3600	1559.5779	1553.7746	1549.1657	1546.5013	1542.6894
0.004800	1559.3648	1554.1828	1549.2001	1545.1143	1542.3600	1559.5764	1553.7754	1549.1657	1546.5006	1542.6902
0.005600	1559.3648	1554.1828	1549.2009	1545.1151	1542.3608	1559.5764	1553.7754	1549.1657	1546.5013	1542.6894
0.006400	1559.3648	1554.1828	1549.2001	1545.1158	1542.3608	1559.5771	1553.7754	1549.1649	1546.5013	1542.6902
0.007200	1559.3648	1554.1820	1549.1993	1545.1158	1542.3608	1559.5779	1553.7761	1549.1657	1546.5013	1542.6902
0.008000	1559.3648	1554.1820	1549.1993	1545.1166	1542.3608	1559.5779	1553.7746	1549.1649	1546.5006	1542.6902
0.008800	1559.3656	1554.1813	1549.2001	1545.1158	1542.3608	1559.5779	1553.7754	1549.1665	1546.5006	1542.6902
0.009600	1559.3648	1554.1828	1549.1993	1545.1158	1542.3600	1559.5771	1553.7754	1549.1657	1546.5013	1542.6902
0.010400	1559.3640	1554.1828	1549.2001	1545.1151	1542.3608	1559.5764	1553.7761	1549.1657	1546.5013	1542.6902
0.011200	1559.3648	1554.1820	1549.2001	1545.1151	1542.3608	1559.5771	1553.7761	1549.1657	1546.5006	1542.6902
0.012000	1559.3648	1554.1813	1549.1993	1545.1158	1542.3608	1559.5771	1553.7754	1549.1657	1546.5006	1542.6902
0.012800	1559.3648	1554.1813	1549.2001	1545.1151	1542.3608	1559.5779	1553.7761	1549.1657	1546.5006	1542.6894
0.013600	1559.3648	1554.1828	1549.2001	1545.1151	1542.3600	1559.5779	1553.7769	1549.1657	1546.5021	1542.6894
0.014400	1559.3648	1554.1836	1549.1985	1545.1166	1542.3600	1559.5779	1553.7761	1549.1649	1546.5006	1542.6894
0.015200	1559.3648	1554.1828	1549.2001	1545.1143	1542.3608	1559.5771	1553.7761	1549.1665	1546.5006	1542.6894
0.016000	1559.3648	1554.1820	1549.1993	1545.1151	1542.3608	1559.5779	1553.7754	1549.1649	1546.4998	1542.6902
0.016800	1559.3640	1554.1828	1549.2001	1545.1158	1542.3600	1559.5779	1553.7769	1549.1649	1546.5006	1542.6894
0.017600	1559.3633	1554.1820	1549.1993	1545.1151	1542.3608	1559.5771	1553.7761	1549.1657	1546.5006	1542.6902
0.018400	1559.3648	1554.1828	1549.1985	1545.1166	1542.3600	1559.5779	1553.7761	1549.1649	1546.5021	1542.6894
0.019200	1559.3648	1554.1828	1549.2001	1545.1158	1542.3600	1559.5764	1553.7769	1549.1657	1546.5006	1542.6894
0.020000	1559.3648	1554.1820	1549.1985	1545.1166	1542.3600	1559.5787	1553.7754	1549.1649	1546.4998	1542.6902
0.020800	1559.3640	1554.1828	1549.1985	1545.1158	1542.3608	1559.5771	1553.7769	1549.1649	1546.5006	1542.6894
0.021600	1559.3640	1554.1820	1549.2001	1545.1151	1542.3600	1559.5771	1553.7754	1549.1665	1546.4998	1542.6894
0.022400	1559.3640	1554.1813	1549.2001	1545.1151	1542.3600	1559.5779	1553.7746	1549.1649	1546.5013	1542.6886
0.023200	1559.3633	1554.1820	1549.1993	1545.1151	1542.3600	1559.5771	1553.7769	1549.1657	1546.5006	1542.6894
0.024000	1559.3648	1554.1820	1549.1993	1545.1151	1542.3608	1559.5771	1553.7761	1549.1657	1546.5006	1542.6894
0.024800	1559.3648	1554.1828	1549.1993	1545.1151	1542.3608	1559.5771	1553.7769	1549.1649	1546.4998	1542.6902
0.025600	1559.3640	1554.1820	1549.2001	1545.1158	1542.3608	1559.5787	1553.7761	1549.1657	1546.4998	1542.6894
0.026400	1559.3648	1554.1828	1549.1993	1545.1151	1542.3608	1559.5771	1553.7761	1549.1665	1546.5013	1542.6894
0.027200	1559.3648	1554.1828	1549.1985	1545.1158	1542.3592	1559.5779	1553.7777	1549.1641	1546.5006	1542.6886
0.028000	1559.3640	1554.1813	1549.1993	1545.1143	1542.3600	1559.5771	1553.7769	1549.1641	1546.4998	1542.6886
0.028800	1559.3640	1554.1820	1549.1993	1545.1158	1542.3600	1559.5779	1553.7761	1549.1641	1546.5013	1542.6886
0.029600	1559.3640	1554.1813	1549.2001	1545.1143	1542.3608	1559.5779	1553.7761	1549.1657	1546.4998	1542.6886
0.030400	1559.3640	1554.1820	1549.1993	1545.1151	1542.3600	1559.5771	1553.7761	1549.1649	1546.4998	1542.6886
0.031200	1559.3648	1554.1820	1549.1993	1545.1151	1542.3600	1559.5771	1553.7769	1549.1657	1546.5006	1542.6894
0.032000	1559.3648	1554.1813	1549.1993	1545.1151	1542.3608	1559.5779	1553.7754	1549.1649	1546.4998	1542.6894
0.032800	1559.3640	1554.1813	1549.1993	1545.1143	1542.3600	1559.5779	1553.7769	1549.1649	1546.4998	1542.6894
0.033600	1559.3656	1554.1813	1549.1978	1545.1143	1542.3600	1559.5779	1553.7769	1549.1649	1546.5013	1542.6894
0.034400	1559.3640	1554.1813	1549.1985	1545.1143	1542.3600	1559.5787	1553.7761	1549.1649	1546.5006	1542.6886
0.035200	1559.3648	1554.1813	1549.1993	1545.1151	1542.3592	1559.5779	1553.7769	1549.1641	1546.4998	1542.6886
0.036000	1559.3648	1554.1813	1549.1993	1545.1135	1542.3600	1559.5779	1553.7777	1549.1649	1546.5006	1542.6886
0.036800	1559.3656	1554.1813	1549.1985	1545.1151	1542.3592	1559.5779	1553.7785	1549.1649	1546.5006	1542.6894
0.037600	1559.3656	1554.1813	1549.1985	1545.1151	1542.3600	1559.5787	1553.7769	1549.1657	1546.4990	1542.6886
0.038400	1559.3656	1554.1813	1549.1993	1545.1143	1542.3600	1559.5787	1553.7769	1549.1634	1546.5006	1542.6886
0.039200	1559.3656	1554.1805	1549.2001	1545.1135	1542.3600	1559.5787	1553.7761	1549.1657	1546.4990	1542.6878
0.040000	1559.3656	1554.1813	1549.1985	1545.1135	1542.3592	1559.5779	1553.7769	1549.1649	1546.5006	1542.6878
0.040800	1559.3656	1554.1805	1549.1985	1545.1151	1542.3600	1559.5787	1553.7761	1549.1641	1546.4990	1542.6886
0.041600	1559.3664	1554.1820	1549.1985	1545.1151	1542.3592	1559.5787	1553.7769	1549.1657	1546.5006	1542.6886
0.042400	1559.3664	1554.1813	1549.1978	1545.1143	1542.3584	1559.5787	1553.7777	1549.1657	1546.5013	1542.6878
0.043200	1559.3656	1554.1805	1549.1978	1545.1143	1542.3592	1559.5779	1553.7777	1549.1634	1546.4998	1542.6886
0.044000	1559.3664	1554.1805	1549.1985	1545.1143	1542.3592	1559.5795	1553.7761	1549.1649	1546.5013	1542.6878
0.044800	1559.3656	1554.1805	1549.1985	1545.1143	1542.3592	1559.5795	1553.7769	1549.1649	1546.4998	1542.6886
0.045600	1559.3672	1554.1805	1549.1993	1545.1143	1542.3592	1559.5787	1553.7769	1549.1649	1546.4982	1542.6878
0.046400	1559.3664	1554.1797	1549.1985	1545.1135	1542.3592	1559.5779	1553.7761	1549.1649	1546.4998	1542.6878
0.047200	1559.3664	1554.1805	1549.1978	1545.1127	1542.3584	1559.5779	1553.7769	1549.1649	1546.5006	1542.6878
0.048000	1559.3672	1554.1797	1549.1993	1545.1135	1542.3592	1559.5787	1553.7777	1549.1649	1546.4990	1542.6878
0.048800	1559.3672	1554.1813	1549.1985	1545.1135	1542.3584	1559.5787	1553.7769	1549.1657	1546.4998	1542.6878
0.049600	1559.3672	1554.1813	1549.1985	1545.1143	1542.3584	1559.5787	1553.7777	1549.1657	1546.5013	1542.6878
0.050400	1559.3672	1554.1805	1549.1985	1545.1127	1542.3592	1559.5787	1553.7769	1549.1649	1546.4998	1542.6878
0.051200	1559.3680	1554.1805	1549.1985	1545.1143	1542.3584	1559.5795	1553.7777	1549.1649	1546.4998	1542.6878
0.052000	1559.3680	1554.1813	1549.1993	1545.1127	1542.3592	1559.5787	1553.7769	1549.1649	1546.4998	1542.6878
0.052800	1559.3680	1554.1805	1549.1978	1545.1127	1542.3592	1559.5795	1553.7785	1549.1641	1546.4982	1542.6871
0.053600	1559.3688	1554.1797	1549.1985	1545.1135	1542.3592	1559.5795	1553.7777	1549.1641	1546.4982	1542.6878
0.054400	1559.3688	1554.1805	1549.1985	1545.1127	1542.3592	1559.5779	1553.7769	1549.1657	1546.4998	1542.6878
0.055200	1559.3688	1554.1805	1549.1978	1545.1135	1542.3592	1559.5795	1553.7769	1549.1649	1546.5006	1542.6878
0.056000	1559.3688	1554.1805	1549.1978	1545.1127	1542.3584	1559.5779	1553.7777	1549.1641	1546.4998	1542.6871
0.056800	1559.3688	1554.1813	1549.1978	1545.1135	1542.3584	1559.5787	1553.7777	1549.1649	1546.5013	1542.6878
0.057600	1559.3688	1554.1797	1549.1985	1545.1135	1542.3584	1559.5795	1553.7777	1549.1649	1546.4998	1542.6878
0.058400	1559.3696	1554.1789	1549.1985	1545.1135	1542.3584	1559.5795	1553.7769	1549.1641	1546.4990	1542.6871
0.059200	1559.3688	1554.1805	1549.1978	1545.1127	1542.3592	1559.5795	1553.7785	1549.1649	1546.4998	1542.6878
0.060000	1559.3704	1554.1805	1549.1978	1545.1119	1542.3584	1559.5795	1553.7785	1549.1649	1546.4982	1542.6871
0.060800	1559.3704	1554.1805	1549.1985	1545.1127	1542.3577	1559.5795	1553.7777	1549.1649	1546.4998	1542.6871
0.061600	1559.3704	1554.1805	1549.1985	1545.1135	1542.3584	1559.5803	1553.7785	1549.1657	1546.4998	1542.6871
0.062400	1559.3712	1554.1813	1549.1978	1545.1127	1542.3584	1559.5787	1553.7793	1549.1641	1546.4998	1542.6871
